tablenumber,tabledesc,tabletype,numcat,filenumber,startcol
51,SEX BY INDUSTRY BY CLASS OF WORKER FOR THE EMPLOYED CIVILIAN POPULATION 16 YEARS AND OVER [65],P,65,6,6
52,HOUSEHOLD INCOME IN 1999 [17]                                                                       ,P,17,6,71
53,MEDIAN HOUSEHOLD INCOME IN 1999 (DOLLARS) [1]                                                       ,P,1,6,88
54,AGGREGATE HOUSEHOLD INCOME IN 1999 (DOLLARS) [3]                                                    ,P,3,6,89
55,AGE OF HOUSEHOLDER BY HOUSEHOLD INCOME IN 1999 [120]                                                ,P,120,6,92
56,MEDIAN HOUSEHOLD INCOME IN 1999 (DOLLARS) BY AGE OF HOUSEHOLDER [8],P,8,6,212
57,AGGREGATE HOUSEHOLD INCOME IN 1999 (DOLLARS) BY AGE OF HOUSEHOLDER [8],P,8,6,220
58,EARNINGS IN 1999 FOR HOUSEHOLDS [3]                                                                 ,P,3,6,228
59,WAGE OR SALARY INCOME IN 1999 FOR HOUSEHOLDS [3]                                                    ,P,3,6,231
60,SELF-EMPLOYMENT INCOME IN 1999 FOR HOUSEHOLDS [3]                                                   ,P,3,6,234
61,INTEREST DIVIDENDS OR NET RENTAL INCOME IN 1999 FOR HOUSEHOLDS [3],P,3,6,237
62,SOCIAL SECURITY INCOME IN 1999 FOR HOUSEHOLDS [3]                                                   ,P,3,6,240
63,SUPPLEMENTAL SECURITY INCOME (SSI) IN 1999 FOR HOUSEHOLDS [3]  ,P,3,6,243
64,PUBLIC ASSISTANCE INCOME IN 1999 FOR HOUSEHOLDS [3]                                                 ,P,3,6,246
65,RETIREMENT INCOME IN 1999 FOR HOUSEHOLDS [3]                                                        ,P,3,6,249
66,OTHER TYPES OF INCOME IN 1999 FOR HOUSEHOLDS [3]                                                    ,P,3,6,252
67,AGGREGATE EARNINGS IN 1999 (DOLLARS) FOR HOUSEHOLDS [1]                                             ,P,1,6,255
68,AGGREGATE WAGE OR SALARY INCOME IN 1999 (DOLLARS) FOR HOUSEHOLDS [1],P,1,7,6
69,AGGREGATE SELF-EMPLOYMENT INCOME IN 1999 (DOLLARS) FOR HOUSEHOLDS [1],P,1,7,7
70,AGGREGATE INTEREST DIVIDENDS OR NET RENTAL INCOME IN 1999 (DOLLARS) FOR HOUSEHOLDS [1],P,1,7,8
71,AGGREGATE SOCIAL SECURITY INCOME IN 1999 (DOLLARS) FOR HOUSEHOLDS [1],P,1,7,9
72,AGGREGATE SUPPLEMENTAL SECURITY INCOME (SSI) IN 1999 (DOLLARS) FOR HOUSEHOLDS [1],P,1,7,10
73,AGGREGATE PUBLIC ASSISTANCE INCOME IN 1999 (DOLLARS) FOR HOUSEHOLDS [1],P,1,7,11
74,AGGREGATE RETIREMENT INCOME IN 1999 (DOLLARS) FOR HOUSEHOLDS [1],P,1,7,12
75,AGGREGATE OTHER TYPES OF INCOME IN 1999 (DOLLARS) FOR HOUSEHOLDS [1],P,1,7,13
76,FAMILY INCOME IN 1999 [17]                                                                          ,P,17,7,14
77,MEDIAN FAMILY INCOME IN 1999 (DOLLARS) [1]                                                          ,P,1,7,31
78,AGGREGATE FAMILY INCOME IN 1999 (DOLLARS) [3]                                                       ,P,3,7,32
79,NONFAMILY HOUSEHOLD INCOME IN 1999 [17]                                                             ,P,17,7,35
80,MEDIAN NONFAMILY HOUSEHOLD INCOME IN 1999 (DOLLARS) [1]                                             ,P,1,7,52
81,AGGREGATE NONFAMILY HOUSEHOLD INCOME IN 1999 (DOLLARS) [3]                                          ,P,3,7,53
82,PER CAPITA INCOME IN 1999 (DOLLARS) [1]                                                             ,P,1,7,56
83,AGGREGATE INCOME IN 1999 (DOLLARS) FOR THE POPULATION 15 YEARS AND OVER [1],P,1,7,57
84,SEX BY EARNINGS IN 1999 FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS [43],P,43,7,58
85,MEDIAN EARNINGS IN 1999 (DOLLARS) BY SEX FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS [3],P,3,7,101
86,AGGREGATE EARNINGS IN 1999 (DOLLARS) BY SEX FOR THE POPULATION 16 YEARS AND OVER WITH EARNINGS [3],P,3,7,104
87,POVERTY STATUS IN 1999 BY AGE [17]                                                                  ,P,17,7,107
88,RATIO OF INCOME IN 1999 TO POVERTY LEVEL [10]                                                       ,P,10,7,124
89,POVERTY STATUS IN 1999 BY AGE BY HOUSEHOLD TYPE [39]                                                ,P,39,7,134
90,POVERTY STATUS IN 1999 OF FAMILIES BY FAMILY TYPE BY PRESENCE OF RELATED CHILDREN UNDER 18 YEARS BY AGE OF RELATED CHILDREN [41],P,41,7,173
91,AGGREGATE INCOME DEFICIT IN 1999 (DOLLARS) FOR FAMILIES BY FAMILY TYPE [5],P,5,7,214
